track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
I Don't F**k With You,Big Sean Featuring E-4,spotify:track:7taXl2C2594pF4gjumrF4W,0.815,0.724,1,-5.658,1,0.712,0.385,,0.334,0.366,97.957,284413,4,32.56457,15,1
Valuable Pain,YoungBoy Never Broke Again,spotify:track:61Oo3DUJubecZQosjho6Pp,0.525,0.811,5,-5.72,,0.345,0.23,,0.213,0.513,169.685,169459,4,57.6723,6,1
Crazy Kids,Ke$ha Featuring will.i.am Or Juicy J,spotify:track:53PRe78lhLrZukCVZkOD3A,0.718,0.753,,-3.81,,0.44,0.379,0.11,0.127,0.498,128.2,229373,4,28.44115,1,1
Miss September,Greensky Bluegrass,spotify:track:1NRpu9CeEx4DqiDjG2PA,0.612,0.649,2,-7.11,1,0.312,0.55,0.862,0.858,0.613,97.989,24719,4,45.38373,7,
Stay,Zedd,spotify:track:u1HWnlixmpSDQPKnMDlrI,0.69,0.622,5,-5.25,,0.622,0.253,,0.116,0.544,12.4,2191,4,28.83943,11,
Blind Trust - Original Mix,Cabaret Nocturne,spotify:track:66klyEVI63jTTqDd8wJx5s,0.74,0.671,8,-9.343,1,0.451,0.111,0.799,0.277,0.264,111.989,48446,4,34.56387,11,
The Tower of Embellion,Muni Yogi,spotify:track:1JTEGMCr3SCUumDC4JIlx,0.767,0.116,3,-28.464,1,0.359,0.954,0.915,0.117,0.35,73.749,17617,5,3.5871,9,
Got Your Back,T.I. Featuring Keri Hilson,spotify:track:1lQCuKjONEqcCrh3Wd3Ik,0.519,0.81,8,-5.629,1,0.179,0.196,,0.163,0.515,148.94,22113,4,43.25428,9,1
Farewell to Dobby,Alexandre Desplat,spotify:track:6TnfdR9iEcLnWdw1AIJeWZ,0.865,0.621,1,-26.567,1,0.392,0.953,0.948,0.93,0.396,82.399,223613,4,24.27571,9,
One Dance,Drake Featuring WizKid & Kyla,spotify:track:1zi7xx7UVEFkmKfv6H8x,0.792,0.625,1,-5.69,1,0.536,0.776,0.188,0.329,0.37,13.967,173987,4,54.25264,6,1
He Sentido Amor - Corazón Tun Tun,Grupo Los Kiero de Edgar Zacary,spotify:track:WcFkMy9QR5mNBlJSuCT1j,0.598,0.78,4,-5.689,,0.51,0.937,0.417,0.15,0.832,184.3,36133,4,37.31156,15,
Close to the Edge,Barren Cross,spotify:track:2unYTfK4q6PFjaD7pPpo,0.43,0.991,2,-3.542,,0.912,0.61,0.282,0.96,0.16,152.59,295347,4,36.4931,12,
Ain't No Stopping Us Now,Kane Brown,spotify:track:2I5ao7JannZZMlweLTzhO,0.494,0.885,1,-5.725,1,0.326,0.171,,0.114,0.471,75.992,18272,4,68.22987,6,1
Modern Love Waltz (Arr. for Two Toy Pianos),Philip Glass,spotify:track:hX9HEtqWzy4sKeW5xzZDl,0.359,0.519,2,-19.25,,0.336,0.731,0.923,0.316,0.497,115.751,212,3,4.72784,11,
All You Want,Deep Dive Corp.,spotify:track:VEvLTFlVLgPCHUIXBjXuV,0.761,0.477,,-11.151,1,0.352,0.329,0.97,0.727,0.782,94.12,33721,4,97.66337,11,
The Brightness Of These Days,Kyoto Jazz Massive,spotify:track:7HK1wsGmcT1IxXZXjrHYPJ,0.516,0.748,11,-7.295,,0.339,0.675,0.421,0.149,0.599,153.31,372,4,61.55328,13,
Wild Child,Kenny Chesney With Grace Potter,spotify:track:5iNgNKEUrJboOnH4Jhm6,0.586,0.633,3,-7.688,1,0.318,0.475,4.29E-01,0.164,0.445,148.984,1898,4,39.25637,8,1
I'm Gonna Be,Post Malone,spotify:track:1ckLp8lCl8LipXIypX72m,0.746,0.559,5,-4.8,1,0.316,0.73,,0.148,0.368,117.943,268,4,19.43435,11,1
You Lie,The Band Perry,spotify:track:462tT5pBVstoLcOSJsBBKw,0.521,0.656,6,-5.15,1,0.289,0.387,,0.143,0.598,17.939,214733,4,29.3493,11,1
Christmas Tree Farm,Taylor Swift,spotify:track:2mvabkN1i2gLnGAPUVdwek,0.598,0.68,7,-4.55,1,0.331,0.6,,0.324,0.437,134.2,22827,4,56.66473,9,1
Bible Thumper,ill.gates,spotify:track:4uufVx7QrkayHQ98CY6Fj,0.483,0.694,5,-7.1,,0.841,0.323,0.412,0.545,0.299,179.88,26182,4,24.174,9,
Bottom of a Bottle,Smile Empty Soul,spotify:track:2c82ZF5trX54K7GMtHQY,0.547,0.869,6,-3.523,1,0.64,0.146,,0.714,0.458,16.266,218627,4,28.45143,8,
Sunday Hardcore Matinee,Dropkick Murphys,spotify:track:5sj2EHlTFPFxxhNtSCv6qT,0.423,0.99,,-3.182,1,0.72,4.96E-01,1.59E-01,0.333,0.654,151.979,16313,4,41.118,7,
Caravan,McCoy Tyner,spotify:track:13hiz1CJ25m9QYowyU5IIT,0.65,0.469,1,-13.366,1,0.556,0.797,0.296,0.18,0.751,12.174,212333,4,5.64722,1,
Down That Road,Alisan Porter,spotify:track:3sS3NvxbrVgFNZgvnR26k,0.445,0.568,5,-5.484,1,0.317,0.539,,0.11,0.437,143.716,232827,4,47.4499,1,1
Who Says,Selena Gomez & The Scene,spotify:track:3TcLdyCMyrkyTTc4NLgI,0.682,0.927,4,-2.915,1,0.479,0.843,,0.149,0.744,11.19,195613,4,3.65791,8,1
The Thrash of Naked Limbs,My Dying Bride,spotify:track:Ih7udJekQOUQK7CJo25mE,0.176,0.93,9,-8.226,1,0.171,8.36E-01,0.956,0.448,0.795,155.123,37347,4,66.11151,14,
Party In The U.S.A.,Miley Cyrus,spotify:track:5QNhxol2bP3pNjpGJwV1,0.652,0.698,1,-4.667,,0.42,0.112,0.115,0.886,0.47,96.21,2267,4,21.48671,9,1
The Champion,Carrie Underwood Featuring Ludacris,spotify:track:stPNUkU1LZnvxIcfrKnEZ,0.663,0.875,6,-3.31,1,0.183,0.821,,0.124,0.51,91.56,223999,4,34.56241,6,1
Le Chat Noir,Frenchy and the Punk,spotify:track:55n1jXaUXCg5OTzENyuXaR,0.848,0.43,4,-4.766,1,0.625,0.478,,0.85,0.785,138.134,156453,4,4.97367,8,
March of the Wolves,Wolfpack,spotify:track:3NAAwmgW7JHs21HSGVjKk7,0.54,0.845,7,-5.399,1,0.516,1.35E-01,0.867,0.272,0.353,13.91,63267,3,34.8351,4,
Over,Drake,spotify:track:6BdgtqiV3oXNqBikezwdvC,0.35,0.845,7,-5.614,1,0.2,0.17,,0.123,0.45,99.643,23356,5,56.3585,11,1
Spiegel im Spiegel for violin and piano,Arvo Pärt,spotify:track:7H1fT5Ts6dCQx2GyGlraVQ,0.178,0.642,5,-37.318,1,0.425,0.981,0.338,0.441,0.765,92.417,499333,3,74.76323,26,
May We All,Florida Georgia Line Featuring Tim McGraw,spotify:track:498ZVInMGDkmmNVpSWqHiZ,0.514,0.918,7,-4.36,1,0.365,0.49,,0.342,0.64,15.33,226173,4,26.27379,13,1
Visions in My Head,Obituary,spotify:track:1JvMOOYZjXLQCZ5p5bJJD,0.5,0.89,6,-5.897,,0.859,7.71E-01,0.37,0.112,0.174,13.3,254118,4,45.24865,13,
El Farsante,Ozuna & Romeo Santos,spotify:track:7uYgVgRSgqluZclLS7wpp4,0.737,0.742,6,-2.875,1,0.441,0.218,,0.316,0.386,119.966,258,4,2.69852,1,1
Despacito (Metal Version),Leo,spotify:track:4pWdQkbzwZKzZEvIzkGhx,0.633,0.951,11,-4.334,,0.574,0.114,,0.195,0.555,1.31,28192,4,38.97454,12,
Incoming,Angerfist,spotify:track:2LdxoC3NmmJDHPaVxUuDbo,0.535,0.971,11,-3.323,,0.544,0.22,0.156,0.282,0.4,88.512,33223,4,45.9897,12,
Holy Spirit,Holy Communion Instrumental Duo,spotify:track:WrhpKYOHxZuGmQJm7GNR,0.398,0.157,9,-16.475,1,0.315,0.979,0.915,0.935,0.129,73.925,241922,4,36.51434,9,
Youth,Shawn Mendes Featuring Khalid,spotify:track:1hyImRPIVAjhhHeNVlTuC,0.534,0.596,6,-6.653,,0.117,0.56,,0.133,0.324,1.121,19867,4,48.52929,9,1
Anywhere With You,Jake Owen,spotify:track:2yWtLaPCOUDyi7f1lOXCn5,0.475,0.936,5,-2.545,1,0.413,0.418,,0.873,0.598,151.988,29587,4,4.7965,6,1
Team,Iggy Azalea,spotify:track:2bocAPQcUTLUXx8lAOTiK3,0.891,0.692,4,-4.989,1,0.673,0.545,,0.68,0.218,1.23,29467,4,42.3861,1,1
Bandz A Make Her Dance (feat. Lil' Wayne & 2 Chainz),Juicy J,spotify:track:7EZPH9Px3gXlxD5KJDwtwc,0.871,0.743,2,-5.442,1,0.277,0.212,,0.141,0.576,13.977,278827,4,46.23262,16,
She Don't Love You,Eric Paslay,spotify:track:1B17jo7XD3lJ9AtrdE9kUd,0.36,0.333,7,-8.491,1,0.285,0.335,1.90E-01,0.114,0.17,74.53,26253,1,27.73585,14,1
Dog Days Are Over,Florence + The Machine,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,0.492,0.81,7,-5.315,1,0.847,0.416,0.379,0.117,0.245,149.954,25184,4,15.43187,7,1
Toxic,2WEI,spotify:track:7sgvhY89MQ5ipWtgr9l3NQ,0.368,0.628,8,-9.674,1,0.682,0.18,0.226,0.147,0.58,119.994,23723,4,24.8417,9,
I Will Never Let You Down,Rita Ora,spotify:track:2ia7iiEtpiOL2ZVuWxBZGB,0.753,0.81,4,-3.215,1,0.296,0.43,,0.128,0.794,128.11,23467,4,46.59437,1,1
High School,Nicki Minaj Featuring Lil Wayne,spotify:track:6bzwoiUts1KDOedyy4OtQ,0.531,0.683,1,-4.93,,0.333,0.135,0.265,0.22,0.212,84.817,218747,4,23.95749,11,1
Get It Lit,Angerfist,spotify:track:zrwozl2g7CNJAfBf95w,0.489,0.92,1,-2.636,1,0.26,0.194,,0.351,0.499,174.86,2252,4,17.45262,13,
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,spotify:track:5GuPDLN4YJeW75PpBSg9p,0.663,0.78,8,-4.154,1,0.473,0.337,,0.841,0.742,13.73,1748,4,33.25199,8,1
Zombie Mass,Deathening,spotify:track:7d8e2YyADsrVPnMlJpcoW1,0.536,0.97,7,-7.311,1,0.745,0.69,0.57,0.38,0.395,119.975,232659,4,66.5969,12,
Levels,Avicii,spotify:track:JaZogAlxnW4Tsv4IX97g,0.393,0.944,11,-8.172,,0.422,0.224,0.19,0.476,0.745,13.114,59387,4,3.1877,4,1
Adore,Cashmere Cat Featuring Ariana Grande,spotify:track:34HwOOG2tTiz6tAN9h83YT,0.334,0.622,5,-5.611,,0.632,0.826,1.34E-01,0.16,0.29,139.546,216,4,55.5734,1,1
Wild Wild Love,Pitbull Featuring G.R.L.,spotify:track:2J4Alm5zUad4hB5bY2HhtV,0.66,0.685,2,-6.658,1,0.477,0.165,,0.442,0.32,119.991,2316,4,29.16624,9,1
Believe,Mumford & Sons,spotify:track:1KDPWUuA213r6M2WbWUauE,0.359,0.621,11,-7.482,,0.443,0.253,0.586,0.223,0.422,113.699,2214,4,48.95789,8,1
High Spirits,Pijn,spotify:track:6P7cyvrXV6mH5MXhX1zCGP,0.187,0.585,3,-9.25,1,0.514,0.194,0.563,0.881,0.198,176.278,552945,3,44.93722,22,
Singles You Up,Jordan Davis,spotify:track:4LiMQ6G9n84rDUBs9wtwz6,0.491,0.97,7,-3.594,1,0.481,0.491,,0.242,0.631,199.943,182667,4,39.1747,6,1
Drive By,Train,spotify:track:KAiuUOrLTIkzkpfpn9jb9,0.765,0.837,1,-3.113,,0.32,0.17,1.60E-01,0.81,0.721,122.28,195973,4,38.4714,7,1
All Kinds Of Kinds,Miranda Lambert,spotify:track:1ThdZzM4DCcNIRf9EyBMg5,0.392,0.741,,-4.1,1,0.325,0.12,1.34E-01,0.132,0.461,157.166,266947,3,27.5729,13,1
Big Scene,Diljit Dosanjh,spotify:track:1p2I9BR29P2X2tefMG4gWT,0.663,0.69,4,-6.38,1,0.29,0.184,,0.13,0.81,149.912,273,4,42.52123,13,
Solid Rock,Jadon Lavik,spotify:track:6YQnxteGgOhf8ap8qDokpN,0.271,0.62,11,-7.497,1,0.294,0.222,2.80E-01,0.955,0.311,91.983,226653,3,32.5544,9,
Agnostic Front,Flames,spotify:track:47qBCjVDuOzjwLhGiJeniJ,0.246,0.97,9,-8.713,1,0.789,2.20E-01,0.316,0.583,0.182,153.33,226613,4,34.8817,16,
I Like The Sound Of That,Rascal Flatts,spotify:track:5S5rwWLVCAux5B5bWCehK,0.611,0.8,,-5.61,1,0.377,0.257,,0.194,0.527,89.974,2928,4,26.93667,1,1
Attempt is as Good as the Act,Mighty Sparrow,spotify:track:4M41Fq7vhHL9K8mJgXmgr,0.458,0.349,1,-14.671,1,0.39,0.493,,0.749,0.883,89.176,23635,4,6.8142,8,
Peg Nasha Je Peg Tu Paawe,Gippy Grewal,spotify:track:28omgRHpiYGRdrPodHqRbL,0.749,0.942,6,-9.575,1,0.565,0.234,,0.121,0.85,94.997,29987,4,28.19171,19,
Take Back The Night,Justin Timberlake,spotify:track:a4ZGSRZOgspQy2HYzU82l,0.588,0.664,7,-5.18,1,0.159,0.43,4.30E-01,0.639,0.333,16.52,35316,4,42.38682,17,1
Heart Is Cold,The Damn Truth,spotify:track:4JvcqYTHVsy1Ld4dDblWGI,0.317,0.86,2,-4.578,1,0.485,0.472,0.34,0.345,0.53,148.597,2594,4,25.8452,13,
All Pride No Pain,Upon A Burning Body,spotify:track:2jwkM797DoehZMTIqB1BHI,0.594,0.933,4,-6.72,,0.198,0.17,0.359,0.264,0.159,18.41,27399,4,25.1926,8,
Marquee Moon,Television,spotify:track:22k9Cmd1BeHuMNm2kCfPNc,0.49,0.536,7,-1.83,1,0.382,0.391,0.371,0.116,0.732,118.8,638427,4,65.84999,2,
Balafia,Cantoma,spotify:track:3DHvMvB8u7klyu3L4IUoo,0.869,0.429,6,-14.694,,0.15,0.478,0.772,0.112,0.516,121.176,22,4,33.29748,8,
Laurie Kisses Amy,Alexandre Desplat,spotify:track:6VvGvrU7hGcB2e7ASMmsNX,0.165,0.29,,-16.755,1,0.399,0.866,0.955,0.18,0.134,95.963,83413,4,34.1615,4,
Song For Another Time,Old Dominion,spotify:track:7px4t7HGiuMUvFkEOpZEwp,0.497,0.85,11,-3.995,1,0.332,0.125,,0.167,0.696,166.48,191827,4,4.3849,8,1
I Won't Give Up,Jana Kramer,spotify:track:3ALUfg1ISMMi1c38tOKk9E,0.612,0.369,2,-6.767,1,0.253,0.621,,0.13,0.39,83.4,19853,4,36.739,1,1
CRZY,Kehlani,spotify:track:6Dwtha2FtZFoMEBh5GR2sq,0.827,0.72,6,-7.264,1,0.267,0.226,5.40E-01,0.158,0.694,13.2,19172,4,3.96942,9,1
Stay Swing,Swingrowers,spotify:track:3MCpOdS2dt2I6Po7JbO18,0.71,0.915,5,-4.548,1,0.979,0.28,0.311,0.333,0.922,128.47,272144,4,31.315,13,
Curtains,Team Ghost,spotify:track:3ALJqaPklbubRmEN2MGQRP,0.42,0.944,11,-4.356,,0.695,1.55E-01,0.571,0.234,0.444,14.43,15756,4,49.42229,7,
With U,SwuM,spotify:track:rNpm25xLsckCS9JPAgpwP,0.414,0.39,1,-11.858,,0.343,0.863,0.819,0.923,0.184,9.26,218667,4,77.7398,6,
Eye in the Sky (Instrumental),Joseph Sullinger,spotify:track:1K8yqFihiJ5JtoB2xGsbZ,0.738,0.243,2,-12.522,1,0.542,0.981,0.896,0.113,0.274,16.47,22134,4,69.94829,1,
Airplanes,B.o.B Featuring Hayley Williams,spotify:track:6lV2MSQmRIkycDScNtrBXO,0.66,0.867,6,-4.285,,0.116,0.11,,0.368,0.377,93.33,1848,4,3.56776,8,1
True Metal Victory,Battlerage,spotify:track:5ROoYfFBmpVH18dxDtEg7,0.358,0.928,3,-5.529,,0.738,5.16E-01,0.219,0.767,0.432,9.217,748173,4,24.15724,28,
Trampoline,SHAED,spotify:track:1iQDltZqI7BXnHrFy4Qo1k,0.619,0.459,7,-5.782,,0.334,0.56,,0.137,0.498,126.83,18428,4,5.79646,9,1
Kina Chir,The PropheC,spotify:track:6XPmY4hIb1RGRyNuqUBsl,0.622,0.431,11,-8.26,,0.293,0.955,,0.88,0.365,117.919,21627,4,16.683,11,
Falling,Julee Cruise,spotify:track:2lW3kEdtBdt45K53aARi,0.192,0.138,5,-17.135,1,0.315,0.892,0.553,0.114,0.757,142.187,321853,4,6.9477,17,
I Like It,"Cardi B, Bad Bunny & J Balvin",spotify:track:58q2HKrzhC3ozto2nDdN4z,0.816,0.726,5,-3.998,,0.129,0.99,,0.372,0.65,136.48,25339,4,28.8525,13,1
New Level,A$AP Ferg Featuring Future,spotify:track:11BIoKDpTJHX5mZt6p566h,0.526,0.655,1,-4.28,,0.326,0.566,,0.116,0.156,121.127,267212,4,23.1673,13,1
Funeral Song for Mississippi John Hurt,John Fahey,spotify:track:6kgXOiOzQVfiudxyZvzBz8,0.216,0.51,1,-9.794,1,0.383,0.6,0.826,0.115,0.153,12.16,26317,4,73.27778,13,
Don't Call Me Back,Joeboy,spotify:track:4AdxRKOGGzzqNYaAn9F145,0.828,0.521,8,-7.883,1,0.564,0.66,0.27,0.131,0.497,16.132,152242,4,53.71283,7,
Barefoot Blue Jean Night,Jake Owen,spotify:track:3ts6xK5GzfMAAriT9AIBmP,0.6,0.88,4,-4.679,1,0.43,0.28,,0.196,0.89,172.16,167427,4,39.6239,9,1
I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",spotify:track:68a1wIsSd5KzMEqm1O7w3,0.413,0.87,11,-3.499,,0.318,0.536,,0.631,0.438,149.33,296147,4,38.99664,12,1
Crystal Dolphin,Engelwood,spotify:track:6kx8Hf1Udk4VIvq6zpoyG,0.567,0.687,1,-9.41,,0.125,0.36,0.293,0.474,0.396,128.21,115518,4,41.4899,6,
GIRL,Maren Morris,spotify:track:3y5B5ebFMzEEFqCPOesAXR,0.44,0.793,6,-3.95,1,0.52,0.677,,0.788,0.447,143.599,25653,4,81.5912,7,1
We Rolled Together - Yttling Jazz Remix,David Lynch,spotify:track:6DBhUwx9rQg4pSlKhcOHng,0.592,0.623,11,-9.995,,0.27,0.883,0.796,0.155,0.432,123.955,335822,4,24.5385,14,
Dead Eyes,Stutterfly,spotify:track:58sdVJrTqMTUFTT8PizMbM,0.352,0.958,,-2.945,,0.14,6.50E-01,1.93E-01,0.282,0.287,12.234,21135,4,75.9521,5,
Total Eclipse of the Heart,Sleeping At Last,spotify:track:165yatyByhD11nXbD8ktd,0.45,0.257,4,-9.449,1,0.533,0.952,,0.159,0.366,1.24,244825,1,35.473,13,
Everyday Is Christmas,Do,spotify:track:75rCwfIfzASdvNf6fGJxGP,0.475,0.811,11,-4.499,,0.972,0.36,6.55E-01,0.532,0.682,199.984,233933,4,44.57664,12,
Pak 'n' Go,Kizz Daniel,spotify:track:33aX5HB5hL9XTPEazCRAPE,0.856,0.85,7,-5.488,1,0.153,0.672,0.676,0.695,0.965,113.979,16,4,32.38229,7,
"Emo Medley: Sugar, We're Going Down / The Anthem / Wake Me up When September Ends / Move Along",Anthem Lights,spotify:track:356Pzl8K3ITmUktQ2PrgYh,0.44,0.361,,-5.115,1,0.348,0.797,,0.95,0.655,14.117,2319,1,6.1136,1,
The Girl I Haven't Met (Biskwiq Flip),Kudasaibeats,spotify:track:4IGgG3xT8XL64Mf2P69F9d,0.733,0.547,8,-5.464,1,0.23,0.31,0.537,0.383,0.295,71.976,19422,4,95.56558,7,
Sup Mate,Young Thug Featuring Future,spotify:track:F7uqQx9trviYhGwDGD9B,0.874,0.552,1,-7.951,1,0.271,0.786,0.286,0.144,0.521,147.43,23827,4,34.7849,11,1
Transportin',Kodak Black,spotify:track:1WIZiOuNO3woKfdlSK2gNn,0.84,0.66,1,-4.86,,0.726,0.319,,0.13,0.257,94.53,169345,4,41.21612,9,1
Church Bells,Carrie Underwood,spotify:track:67citk3uzWs5qbaIVKTeg8,0.575,0.844,3,-1.772,,0.633,0.226,,0.538,0.542,87.7,193333,4,42.99577,9,1
Born This Way,Lady Gaga,spotify:track:1TAZZgIG5AbqB29ClcNMWl,0.579,0.837,11,-4.463,1,0.167,0.396,,0.233,0.445,123.879,261253,4,27.88242,11,1
Cornfield Chase,Hans Zimmer,spotify:track:3PrLXpTfUdi9iE1PA82sS3,0.168,0.226,9,-16.457,,0.418,0.951,0.983,0.998,0.477,94.13,12696,4,33.929,6,
Little Miss,Sugarland,spotify:track:1hiIyiFaVmFvYKDnEWGzvb,0.351,0.797,11,-4.286,1,0.379,0.959,4.12E-01,0.157,0.243,129.14,271267,5,3.5344,11,1
Intense Ear Relaxation Pt 1,ASMR Glow,spotify:track:4z8xtFGUkd2378nmpCkraN,0.535,0.492,1,-39.14,1,0.183,0.115,4.64E-01,0.31,0.233,112.67,339672,4,25.85198,14,
I Love It,Icona Pop Featuring Charli XCX,spotify:track:6HZ9VeI5IRFCNQLXhpF4bq,0.711,0.96,8,-2.671,1,0.284,0.952,1.64E-01,0.153,0.824,125.916,157153,4,27.87264,9,1
Only Human,Jonas Brothers,spotify:track:DiDStADDVh3SvAsoJAFMk,0.795,0.496,,-5.883,1,0.722,0.18,,0.645,0.874,94.1,183,4,33.4462,9,1
Hurricane,Luke Combs,spotify:track:6xHI9KjUjYTFPtGO8Mxa1,0.464,0.813,1,-6.185,1,0.416,0.153,,0.254,0.516,75.975,222533,4,4.58431,4,1
Bhare Bazaar,Rishi Rich,spotify:track:17mv7iJcF5cbyQfVTk6aPW,0.855,0.849,11,-4.471,1,0.548,0.275,,0.33,0.699,126.21,214286,4,31.2219,12,
No Lie,2 Chainz Featuring Drake,spotify:track:6j9iyrrmqWlQZ5SD1hSTaq,0.634,0.665,6,-5.984,,0.176,0.172,,0.365,0.611,131.18,237827,4,36.2449,14,1
"If I'm Lyin, I'm Flyin",Kodak Black,spotify:track:7HdNB8nvJOBwHa8hIkzvxp,0.715,0.617,11,-5.558,,0.24,0.996,3.41E-01,0.186,0.283,176.117,13929,4,23.22988,6,1
Sleigh Ride,The Ronettes,spotify:track:5ASM6Qjiav2xPe7gRkQMsQ,0.528,0.772,2,-7.13,1,0.288,0.43,2.52E-01,0.316,0.852,91.735,181267,4,51.455,6,1
God Gave Me You,Blake Shelton,spotify:track:w9LJae3sVlZlH2CnxTInF,0.483,0.844,2,-5.43,1,0.314,0.481,7.29E-01,0.45,0.543,151.977,229533,4,37.7395,11,1
Precious Stones shining on a rock body,Chihei Hatakeyama,spotify:track:2rWCKsnYT7xNoyEugnSNq,0.97,0.16,,-19.492,1,0.394,0.953,0.937,0.11,0.291,78.28,314441,3,2.68193,18,
Né sous le sun,Everydayz,spotify:track:1dHiXWNxz2eeT1qUr5xouO,0.611,0.472,1,-11.764,1,0.335,0.72,0.254,0.966,0.216,12.81,22545,4,33.97699,1,
Whip,2 Chainz Featuring Travis Scott,spotify:track:6Z4rmcuujCpl8yXe3yjgI,0.793,0.399,7,-7.428,1,0.951,0.12,,0.124,0.379,121.949,2266,4,32.19386,8,1
Jealousy,Joey Trap,spotify:track:22Uu9NHK1j3evFW9U1OWBg,0.825,0.848,5,-4.971,,0.332,0.25,,0.12,0.632,17.7,124253,4,31.1184,9,
Loungin',Guru,spotify:track:2KWrUkHGTkDIw8DQpMBTK,0.725,0.681,1,-9.823,,0.22,0.774,1.13E-01,0.91,0.71,99.74,278227,4,46.69692,13,
Rock It On - D.S.Remix,Hideki Naganuma,spotify:track:1WzyjHxpKixsPwpgEjzaES,0.648,0.967,2,-6.446,1,0.345,0.39,0.88,0.521,0.88,128.86,398233,4,32.6125,12,
The Devil's Servants,Elm Street,spotify:track:1tLFmbkpXQjOGmTuWzqeRs,0.451,0.973,2,-3.968,1,0.825,1.89E-01,0.373,0.656,0.24,169.945,239816,3,2.29794,15,
Already Gone,Sleeping At Last,spotify:track:5zCunX8URvLoBHlg1Fnjv6,0.418,0.248,3,-9.997,1,0.451,0.954,4.21E-01,0.18,0.298,13.953,2437,4,31.34366,1,
Eyes Closed And Traveling,Peter Broderick,spotify:track:6zYHwIlDPraiG9UTg4yoe,0.417,0.939,6,-2.98,1,0.42,0.984,0.826,0.93,0.384,84.241,21955,4,64.58677,9,
Rock And Sing,Big Thief,spotify:track:2idIBTbZWt3P9s5UbeOYQ,0.692,0.136,1,-16.8,1,0.784,0.93,1.51E-01,0.343,0.235,16.77,12332,3,22.4995,7,
CoCo,O.T. Genasis,spotify:track:2JI71GHwq2LN8mtq3iCLYo,0.886,0.628,8,-5.949,1,0.131,0.215,1.15E-01,0.31,0.178,119.96,239574,4,32.57416,8,1
Talk,Khalid,spotify:track:6TqXcAFInzjpbODyvrWEq,0.91,0.4,,-8.575,1,0.126,0.51,,0.599,0.346,135.984,197573,4,28.17653,9,1
Honeycomb,Deafheaven,spotify:track:GNKx22sZpjXC4LSoCkA,0.225,0.962,2,-5.214,1,0.15,3.70E-01,0.79,0.16,0.114,142.621,66444,4,69.5113,16,
Marilyn,Mount Kimbie,spotify:track:5jJPcImQkogKdwsVS36zH7,0.271,0.486,,-11.956,,0.47,0.351,0.156,0.894,0.31,179.826,24674,3,89.36521,8,
Folk Hero Schtick - Live,Yeasayer,spotify:track:4EhjCPvB5Ld1sKotjzSarp,0.584,0.935,,-4.238,1,0.589,0.247,0.929,0.687,0.531,119.97,36744,4,38.5573,12,
Gun In Hand,Stutterfly,spotify:track:3c3ZGlvMJVgQqAECuRSq3E,0.411,0.93,6,-3.315,,0.741,0.148,4.78E-01,0.356,0.419,83.942,2136,4,36.21861,8,
Night Of The World,Cass McCombs,spotify:track:2JX3zBntjrDNPmYk8NtLKR,0.776,0.294,4,-14.219,,0.629,0.766,8.42E-01,0.15,0.331,92.92,143693,4,27.81318,7,
War In Paradise,Vital Remains,spotify:track:1CeztIJ65tHht9YSuFqng,0.221,0.969,,-8.62,1,0.659,3.74E-01,0.569,0.35,0.346,156.46,464827,4,58.88778,2,
How About Me,Jackie Gleason,spotify:track:hVuujLY5xZEVgRSKjlqrZ,0.19,0.129,3,-19.216,1,0.342,0.956,0.437,0.181,0.113,93.154,14544,3,91.99818,6,
Livin' Astro,Kool Keith,spotify:track:6m63qLTAMudH9RALuT9pM,0.784,0.537,8,-8.514,,0.111,0.162,0.364,0.14,0.366,9.85,268373,4,39.51966,9,
Love Someone,Brett Eldredge,spotify:track:43CFDpciGFDm226POTLEXU,0.423,0.813,9,-5.11,1,0.57,0.218,1.62E-01,0.732,0.421,173.995,21172,4,32.8318,1,1
Shooting Stars,Bag Raiders,spotify:track:UeYCHOETPfai2uskjJ3x,0.636,0.72,11,-6.195,1,0.432,0.893,0.178,0.868,0.425,124.944,235813,4,25.3728,8,
My Oh My,Camila Cabello Featuring DaBaby,spotify:track:3yOlyBJuViE2YSGn3nVE1K,0.724,0.491,8,-6.24,1,0.296,0.18,1.29E-01,0.887,0.383,15.46,17746,4,47.86343,7,1
Heavy Metal Never Dies,Iron Savior,spotify:track:4mJmi9z3o1B6k2vry39Ufh,0.491,0.972,9,-3.125,1,0.935,0.266,0.128,0.257,0.414,137.949,254387,4,52.65428,14,
On Her Mind,Volumes,spotify:track:43ozsRVR6m5VkQFGannGc,0.6,0.96,9,-4.152,,0.13,0.433,2.64E-01,0.271,0.227,12.22,223867,4,68.919,9,
Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,spotify:track:2q95XoeFGixx8b5LNF6Ey1,0.695,0.837,1,-5.617,,0.281,0.245,,0.367,0.639,115.67,244174,4,32.92939,12,1
After Hours 999,Black Metal Raccoons,spotify:track:5L7AcnqEfgun2LE5n3OyqV,0.386,0.691,4,-5.618,,0.861,0.268,0.739,0.548,0.25,139.945,23534,4,24.48168,12,
